"GEOID","community"
"060371011101","Los Angeles - Tujunga"
"060371011102","Los Angeles - Tujunga"
"060371011103","Los Angeles - Tujunga"
"060371011221","Los Angeles - Tujunga"
"060371011222","Los Angeles - Tujunga"
"060371012101","Los Angeles - Tujunga"
"060371012102","Los Angeles - Tujunga"
"060371012201","Los Angeles - Tujunga"
"060371012202","Los Angeles - Tujunga"
"060371013001","Los Angeles - Tujunga"
"060371013002","Los Angeles - Tujunga"
"060371013003","Los Angeles - Tujunga"
"060371013004","Los Angeles - Tujunga"
"060371014001","Los Angeles - Tujunga"
"060371014002","Los Angeles - Tujunga"
"060371014003","Los Angeles - Tujunga"
"060371021031","Los Angeles - Sun Valley"
"060371021041","Los Angeles - Sun Valley"
"060371021042","Los Angeles - Sun Valley"
"060371021051","Los Angeles - Sun Valley"
"060371021052","Los Angeles - Sun Valley"
"060371021071","Los Angeles - Sunland"
"060371021072","Los Angeles - Sun Valley"
"060371031011","Los Angeles - Sunland"
"060371031012","Los Angeles - Sunland"
"060371031021","Los Angeles - Tujunga"
"060371031022","Los Angeles - Sunland"
"060371031023","Los Angeles - Sunland"
"060371031024","Los Angeles - Sunland"
"060371031025","Los Angeles - Sunland"
"060371032001","Los Angeles - Lakeview Terrace"
"060371032002","Los Angeles - Sunland"
"060371032003","Los Angeles - Sunland"
"060371033001","Los Angeles - Shadow Hills"
"060371033002","Los Angeles - Shadow Hills"
"060371034001","Los Angeles - Sunland"
"060371034002","Los Angeles - Sunland"
"060371034003","Los Angeles - Sunland"
"060371034004","Los Angeles - Sunland"
"060371034005","Los Angeles - Sunland"
"060371041031","Los Angeles - Lakeview Terrace"
"060371041032","Los Angeles - Lakeview Terrace"
"060371041051","Los Angeles - Pacoima"
"060371041052","Los Angeles - Pacoima"
"060371041081","Los Angeles - Pacoima"
"060371041082","Los Angeles - Lakeview Terrace"
"060371041083","Los Angeles - Pacoima"
"060371041241","Los Angeles - Lakeview Terrace"
"060371041242","Los Angeles - Lakeview Terrace"
"060371041243","Unincorporated - Kagel/Lopez Canyons"
"060371042011","Los Angeles - Pacoima"
"060371042012","Los Angeles - Pacoima"
"060371042013","Los Angeles - Pacoima"
"060371042031","Los Angeles - Pacoima"
"060371042032","Los Angeles - Pacoima"
"060371042041","Los Angeles - Pacoima"
"060371042042","Los Angeles - Lakeview Terrace"
"060371043101","Los Angeles - Pacoima"
"060371043102","Los Angeles - Pacoima"
"060371043103","Los Angeles - Pacoima"
"060371043201","Los Angeles - Pacoima"
"060371043202","Los Angeles - Pacoima"
"060371043203","Los Angeles - Pacoima"
"060371043204","Los Angeles - Pacoima"
"060371044011","Los Angeles - Pacoima"
"060371044012","Los Angeles - Pacoima"
"060371044031","Los Angeles - Pacoima"
"060371044032","Los Angeles - Pacoima"
"060371044041","Los Angeles - Pacoima"
"060371044042","Los Angeles - Pacoima"
"060371045001","Los Angeles - Pacoima"
"060371045002","Los Angeles - Pacoima"
"060371046101","Los Angeles - Pacoima"
"060371046102","Los Angeles - Pacoima"
"060371046201","Los Angeles - Pacoima"
"060371046202","Los Angeles - Pacoima"
"060371047011","Los Angeles - Pacoima"
"060371047012","Los Angeles - Pacoima"
"060371047013","Los Angeles - Pacoima"
"060371047031","Los Angeles - Pacoima"
"060371047032","Los Angeles - Pacoima"
"060371047041","Los Angeles - Pacoima"
"060371048101","Los Angeles - Pacoima"
"060371048102","Los Angeles - Pacoima"
"060371048103","Los Angeles - Pacoima"
"060371048211","Los Angeles - Pacoima"
"060371048212","Los Angeles - Pacoima"
"060371048221","Los Angeles - Pacoima"
"060371060101","Los Angeles - Sylmar"
"060371060201","Los Angeles - Sylmar"
"060371060202","Los Angeles - Sylmar"
"060371061111","Los Angeles - Sylmar"
"060371061112","Los Angeles - Sylmar"
"060371061121","Los Angeles - Sylmar"
"060371061122","Los Angeles - Sylmar"
"060371061131","Los Angeles - Sylmar"
"060371061132","Los Angeles - Sylmar"
"060371061141","Los Angeles - Sylmar"
"060371061142","Los Angeles - Sylmar"
"060371064031","Los Angeles - Sylmar"
"060371064032","Los Angeles - Sylmar"
"060371064033","Los Angeles - Sylmar"
"060371064051","Los Angeles - Sylmar"
"060371064052","Los Angeles - Sylmar"
"060371064053","Los Angeles - Sylmar"
"060371064061","Los Angeles - Sylmar"
"060371064062","Los Angeles - Sylmar"
"060371064063","Los Angeles - Sylmar"
"060371064071","Los Angeles - Sylmar"
"060371064072","Los Angeles - Sylmar"
"060371064081","Los Angeles - Sylmar"
"060371064082","Los Angeles - Sylmar"
"060371065101","Los Angeles - Sylmar"
"060371065102","Los Angeles - Sylmar"
"060371065103","Los Angeles - Sylmar"
"060371065201","Los Angeles - Sylmar"
"060371065202","Los Angeles - Sylmar"
"060371065203","Los Angeles - Sylmar"
"060371066031","Los Angeles - Granada Hills"
"060371066032","Los Angeles - Granada Hills"
"060371066041","Los Angeles - Sylmar"
"060371066042","Los Angeles - Sylmar"
"060371066043","Los Angeles - Sylmar"
"060371066044","Los Angeles - Granada Hills"
"060371066411","Los Angeles - Granada Hills"
"060371066421","Los Angeles - Granada Hills"
"060371066422","Los Angeles - Granada Hills"
"060371066423","Los Angeles - Granada Hills"
"060371066431","Los Angeles - Granada Hills"
"060371066432","Los Angeles - Granada Hills"
"060371066433","Los Angeles - Granada Hills"
"060371066451","Los Angeles - Granada Hills"
"060371066452","Los Angeles - Granada Hills"
"060371066461","Los Angeles - Granada Hills"
"060371066462","Los Angeles - Granada Hills"
"060371066481","Los Angeles - Sylmar"
"060371066482","Los Angeles - Sylmar"
"060371066491","Los Angeles - Sylmar"
"060371066492","Los Angeles - Sylmar"
"060371070101","Los Angeles - Sylmar"
"060371070201","Los Angeles - Sylmar"
"060371070202","Los Angeles - Sylmar"
"060371081011","Los Angeles - Porter Ranch"
"060371081021","Los Angeles - Porter Ranch"
"060371081031","Los Angeles - Porter Ranch"
"060371081032","Los Angeles - Porter Ranch"
"060371081041","Los Angeles - Porter Ranch"
"060371082011","Los Angeles - Porter Ranch"
"060371082012","Los Angeles - Porter Ranch"
"060371082021","Los Angeles - Porter Ranch"
"060371091001","Los Angeles - Mission Hills"
"060371091002","Los Angeles - Mission Hills"
"060371092001","Los Angeles - Granada Hills"
"060371092002","Los Angeles - Granada Hills"
"060371092003","Los Angeles - Granada Hills"
"060371093001","Los Angeles - Granada Hills"
"060371093002","Los Angeles - Granada Hills"
"060371093003","Los Angeles - Granada Hills"
"060371094001","Los Angeles - Mission Hills"
"060371094002","Los Angeles - Mission Hills"
"060371094003","Los Angeles - Mission Hills"
"060371095001","Los Angeles - Mission Hills"
"060371095002","Los Angeles - Mission Hills"
"060371095003","Los Angeles - Mission Hills"
"060371096011","Los Angeles - Mission Hills"
"060371096012","Los Angeles - Mission Hills"
"060371096013","Los Angeles - Mission Hills"
"060371096014","Los Angeles - Mission Hills"
"060371096031","Los Angeles - Mission Hills"
"060371096032","Los Angeles - Mission Hills"
"060371096033","Los Angeles - Mission Hills"
"060371096041","Los Angeles - Mission Hills"
"060371096042","Los Angeles - Mission Hills"
"060371096043","Los Angeles - Mission Hills"
