"GEOID","CSA_Name","Block_Code","Current_Agency","Current_Outreach","Current_Outreach_Date","ZIP"
"060371011101","Los Angeles - Tujunga",10196,,1,"March 25, 2022",91042
"060371011102","Los Angeles - Tujunga",10635,,6,"March 25, 2022",91042
"060371011103","Los Angeles - Tujunga",10356,,2,"March 25, 2022",91042
"060371011221","Los Angeles - Tujunga",9180,,,"March 25, 2022",91042
"060371011222","Los Angeles - Tujunga",10534,,,"March 25, 2022",91042
"060371012101","Los Angeles - Tujunga",10198,,,"March 25, 2022",91042
"060371012102","Los Angeles - Tujunga",10199,,10,"March 25, 2022",91042
"060371012201","Los Angeles - Tujunga",10200,,,"March 25, 2022",91042
"060371012202","Los Angeles - Tujunga",10201,,,"March 25, 2022",91042
"060371013001","Los Angeles - Tujunga",10367,,,"March 25, 2022",91042
"060371013002","Los Angeles - Tujunga",10450,,,"March 25, 2022",91042
"060371013003","Los Angeles - Tujunga",10202,,,"March 25, 2022",91042
"060371013004","Los Angeles - Tujunga",10197,,,"March 25, 2022",91042
"060371014001","Los Angeles - Tujunga",4841,,,"March 25, 2022",91042
"060371014002","Los Angeles - Tujunga",8554,,,"March 25, 2022",91042
"060371014003","Los Angeles - Tujunga",10307,,,"March 25, 2022",91042
"060371021031","Los Angeles - Sun Valley",5277,,,"March 25, 2022",91352
"060371021041","Los Angeles - Sun Valley",7260,,,"March 25, 2022",91504
"060371021042","Los Angeles - Sun Valley",6270,,2,"March 25, 2022",91352
"060371021051","Los Angeles - Sun Valley",6271,,,"March 25, 2022",91352
"060371021052","Los Angeles - Sun Valley",6273,,,"March 25, 2022",91504
"060371021071","Los Angeles - Sunland",9633,,,"March 25, 2022",91040
"060371021072","Los Angeles - Sun Valley",8953,,3,"March 25, 2022",91352
"060371031011","Los Angeles - Sunland",7677,,,"March 25, 2022",91040
"060371031012","Los Angeles - Sunland",10628,,,"March 25, 2022",91040
"060371031021","Los Angeles - Tujunga",8997,,,"March 25, 2022",91042
"060371031022","Los Angeles - Sunland",4834,,,"March 25, 2022",91040
"060371031023","Los Angeles - Sunland",7716,,,"March 25, 2022",91040
"060371031024","Los Angeles - Sunland",5824,,,"March 25, 2022",91040
"060371031025","Los Angeles - Sunland",8571,,,"March 25, 2022",91040
"060371032001","Los Angeles - Lakeview Terrace",8719,,,"March 25, 2022",91342
"060371032002","Los Angeles - Sunland",6735,,,"March 25, 2022",91040
"060371032003","Los Angeles - Sunland",8833,,,"March 25, 2022",91040
"060371033001","Los Angeles - Shadow Hills",7951,,,"March 25, 2022",91040
"060371033002","Los Angeles - Shadow Hills",9678,,,"March 25, 2022",91040
"060371034001","Los Angeles - Sunland",8525,,,"March 25, 2022",91040
"060371034002","Los Angeles - Sunland",6598,,,"March 25, 2022",91040
"060371034003","Los Angeles - Sunland",9679,,,"March 25, 2022",91040
"060371034004","Los Angeles - Sunland",6599,,,"March 25, 2022",91040
"060371034005","Los Angeles - Sunland",9614,,,"March 25, 2022",91040
"060371041031","Los Angeles - Lakeview Terrace",7768,,,"March 25, 2022",91342
"060371041032","Los Angeles - Lakeview Terrace",5591,,,"March 25, 2022",91342
"060371041051","Los Angeles - Pacoima",3188,"Providence Little Company of Mary Foundation",7,"March 25, 2022",91331
"060371041052","Los Angeles - Pacoima",1342,"Providence Little Company of Mary Foundation",4,"March 25, 2022",91331
"060371041081","Los Angeles - Pacoima",4135,,,"March 25, 2022",91331
"060371041082","Los Angeles - Lakeview Terrace",2329,"Providence Little Company of Mary Foundation",5,"March 25, 2022",91342
"060371041083","Los Angeles - Pacoima",5051,,,"March 25, 2022",91331
"060371041241","Los Angeles - Lakeview Terrace",5560,,,"March 25, 2022",91342
"060371041242","Los Angeles - Lakeview Terrace",7545,,,"March 25, 2022",91342
"060371041243","Unincorporated - Kagel/Lopez Canyons",8944,,,"March 25, 2022",91342
"060371042011","Los Angeles - Pacoima",4006,,3,"March 25, 2022",91340
"060371042012","Los Angeles - Pacoima",4185,,,"March 25, 2022",91331
"060371042013","Los Angeles - Pacoima",4156,,,"March 25, 2022",91331
"060371042031","Los Angeles - Pacoima",2009,,7,"March 25, 2022",91331
"060371042032","Los Angeles - Pacoima",2358,,4,"March 25, 2022",91331
"060371042041","Los Angeles - Pacoima",3662,,,"March 25, 2022",91331
"060371042042","Los Angeles - Lakeview Terrace",6608,,,"March 25, 2022",91342
"060371043101","Los Angeles - Pacoima",4154,,,"March 25, 2022",91331
"060371043102","Los Angeles - Pacoima",4021,,,"March 25, 2022",91340
"060371043103","Los Angeles - Pacoima",4014,,,"March 25, 2022",91331
