"","CensusTract","hpi2score","hpi2_pctile_pos","hpi_least_healthy_25pct","quartiles","quintiles"
"1",6037101110,-0.329010152,29.61632234,"No",2,2
"2",6037101122,0.282757665,67.21416656,"No",3,4
"3",6037101210,-0.359830875,27.678686,"No",2,2
"4",6037101220,-0.287624056,32.2340562,"No",2,2
"5",6037101300,0.271041318,66.44424484,"No",3,4
"6",6037101400,0.001401271,49.69844732,"No",2,3
"7",6037102103,0.23167707,63.62119851,"No",3,4
"8",6037102104,0.135201278,57.71846529,"No",3,3
"9",6037102105,-0.304566086,31.28448608,"No",2,2
"10",6037102107,-0.067652071,45.59219813,"No",2,3
"11",6037103101,0.122259444,56.93571154,"No",3,3
"12",6037103102,-0.09334993,44.09085076,"No",2,3
"13",6037103200,-0.195751573,38.20094957,"No",2,2
"14",6037103300,-0.018056238,48.5692288,"No",2,3
"15",6037103400,0.029769025,51.22545875,"No",3,3
"16",6037104103,-0.163586578,39.98460157,"No",2,2
"17",6037104105,-0.380142458,26.51097138,"No",2,2
"18",6037104108,-0.590777431,15.8475555,"Yes",1,1
"19",6037104124,0.140898654,58.09059412,"No",3,3
"20",6037104201,-0.716808017,10.3554472,"Yes",1,1
"21",6037104203,-0.429825692,24.02155781,"Yes",1,2
"22",6037104204,-0.365547628,27.3193892,"No",2,2
"23",6037104310,-0.621021513,14.70550494,"Yes",1,1
"24",6037104320,-0.678252226,12.03644296,"Yes",1,1
"25",6037104401,-0.361977231,27.55036571,"No",2,2
"26",6037104403,-0.618966354,14.75683306,"Yes",1,1
"27",6037104404,-0.317488541,30.41190812,"No",2,2
"28",6037104500,-0.640022434,13.83292699,"Yes",1,1
"29",6037104610,-0.565139886,16.97677403,"Yes",1,1
"30",6037104620,-0.59257192,15.80905941,"Yes",1,1
"31",6037104701,-1.14977823,1.142050558,"Yes",1,1
"32",6037104703,-0.631368271,14.21788785,"Yes",1,1
"33",6037104704,-0.441845079,23.35429231,"Yes",1,2
"34",6037104810,-0.118138828,42.69215963,"No",2,3
"35",6037104821,-0.468934047,21.84011292,"Yes",1,2
"36",6037104822,-0.363168356,27.44770948,"No",2,2
"37",6037106010,0.108512311,56.19145387,"No",3,3
"38",6037106020,-0.12992242,41.99923008,"No",2,3
"39",6037106111,0.265143235,65.9822918,"No",3,4
"40",6037106112,0.064894716,53.32991146,"No",3,3
"41",6037106113,0.111551871,56.34543821,"No",3,3
"42",6037106114,-0.477220369,21.39099192,"Yes",1,2
"43",6037106403,-0.247310906,34.67214167,"No",2,2
"44",6037106405,-0.369179752,27.07558065,"No",2,2
"45",6037106406,0.054688264,52.59848582,"No",3,3
"46",6037106407,-0.610733162,15.0006416,"Yes",1,1
"47",6037106408,-0.529482601,18.69626588,"Yes",1,1
"48",6037106510,0.186086601,60.9393045,"No",3,4
"49",6037106520,-0.317636964,30.39907609,"No",2,2
"50",6037106603,0.45867804,77.77492622,"No",4,4
"51",6037106604,-0.327292339,29.7318106,"No",2,2
"52",6037106641,0.742972317,91.08174002,"No",4,5
"53",6037106642,0.585440346,84.35775696,"No",4,5
"54",6037106643,0.723588675,90.29898627,"No",4,5
"55",6037106645,0.460277195,77.83908636,"No",4,4
"56",6037106646,0.34130809,70.67881432,"No",3,4
"57",6037106648,-0.349294498,28.37161555,"No",2,2
"58",6037106649,0.114990476,56.51225459,"No",3,3
"59",6037107010,-0.435836283,23.73925318,"Yes",1,2
"60",6037107020,-0.077852927,45.04042089,"No",2,3
"61",6037108101,0.690997082,89.11843963,"No",4,5
"62",6037108102,0.49273348,79.4174259,"No",4,4
"63",6037108103,0.959399024,96.57384833,"No",4,5
"64",6037108104,0.55535636,82.79224945,"No",4,5
"65",6037108201,0.631694866,86.64185808,"No",4,5
"66",6037108202,0.50658097,80.1360195,"No",4,5
"67",6037109100,-0.191511342,38.40626203,"No",2,2
"68",6037109200,0.376586565,72.96291544,"No",3,4
"69",6037109300,0.087248018,54.90825099,"No",3,3
"70",6037109400,-0.157543237,40.48505069,"No",2,3
"71",6037109500,-0.183989985,38.84255101,"No",2,2
"72",6037109601,-0.026111842,48.06877967,"No",2,3
"73",6037109603,-0.041692739,47.26036186,"No",2,3
"74",6037109604,0.080112964,54.40780187,"No",3,3
"75",6037109700,0.294372054,67.81727191,"No",3,4
"76",6037109800,0.245381101,64.64776081,"No",3,4
"77",6037111100,0.265042842,65.96945977,"No",3,4
"78",6037111201,0.29734417,68.00975234,"No",3,4
"79",6037111202,0.04431078,51.96971641,"No",3,3
"80",6037111204,0.644803347,87.07814706,"No",4,5
"81",6037111205,0.272395745,66.54690107,"No",3,4
"82",6037111206,0.667377664,87.86090081,"No",4,5
"83",6037111301,-0.113804402,43.00012832,"No",2,3
"84",6037111302,-0.085440591,44.61696394,"No",2,3
"85",6037111400,0.179800691,60.5800077,"No",3,4
"86",6037113101,0.659457064,87.55293212,"No",4,5
"87",6037113102,0.381553628,73.32221224,"No",3,4
"88",6037113211,0.493169499,79.45592198,"No",4,4
"89",6037113212,0.278266692,66.90619787,"No",3,4
"90",6037113213,0.222721979,63.17207751,"No",3,4
"91",6037113231,0.369163459,72.39830617,"No",3,4
"92",6037113232,0.43673213,76.53021943,"No",4,4
"93",6037113233,-0.285217898,32.37520852,"No",2,2
"94",6037113234,-0.252769639,34.38983703,"No",2,2
"95",6037113235,0.165253248,59.56627743,"No",3,3
"96",6037113237,0.291675436,67.66328757,"No",3,4
"97",6037113301,0.409776677,74.96471192,"No",3,4
"98",6037113303,0.34508987,70.92262287,"No",3,4
"99",6037113321,-0.147851139,40.93417169,"No",2,3
"100",6037113322,0.410661684,75.02887206,"No",4,4
"101",6037113401,0.081912554,54.57461825,"No",3,3
"102",6037113421,-0.221035375,36.46862569,"No",2,2
"103",6037113422,0.007078244,49.9550879,"No",2,3
"104",6037115101,0.595943521,84.96086231,"No",4,5
"105",6037115103,NA,NA,"",NA,NA
"106",6037115104,-0.006674474,49.26215835,"No",2,3
"107",6037115201,-0.142389251,41.21647632,"No",2,3
"108",6037115202,-0.146821817,41.03682792,"No",2,3
"109",6037115301,0.215327633,62.65879636,"No",3,4
"110",6037115302,-0.335811218,29.15436931,"No",2,2
"111",6037115401,-0.062428821,45.95149493,"No",2,3
"112",6037115403,-0.290982196,32.02874374,"No",2,2
"113",6037115404,-0.553873574,17.65687155,"Yes",1,1
"114",6037117101,-0.017657798,48.58206082,"No",2,3
"115",6037117102,-0.292023371,31.93891954,"No",2,2
"116",6037117201,-0.450579449,22.86667522,"Yes",1,2
"117",6037117202,0.286409858,67.45797511,"No",3,4
"118",6037117301,0.345354824,70.94828692,"No",3,4
