"","date","community","age16plus_per"
"1","12/14/2020","City of Agoura Hills",0
"2","12/14/2020","City of Alhambra",0
"3","12/14/2020","City of Arcadia",0
"4","12/14/2020","City of Artesia",0
"5","12/14/2020","City of Avalon",0
"6","12/14/2020","City of Azusa",0
"7","12/14/2020","City of Baldwin Park",0
"8","12/14/2020","City of Bell",0
"9","12/14/2020","City of Bell Gardens",0
"10","12/14/2020","City of Bellflower",0
"11","12/14/2020","City of Beverly Hills",0
"12","12/14/2020","City of Bradbury",0
"13","12/14/2020","City of Burbank",0
"14","12/14/2020","City of Calabasas",0
"15","12/14/2020","City of Carson",0
"16","12/14/2020","City of Cerritos",0
"17","12/14/2020","City of Claremont",0
"18","12/14/2020","City of Commerce",0
"19","12/14/2020","City of Compton",0
"20","12/14/2020","City of Covina",0
"21","12/14/2020","City of Cudahy",0
"22","12/14/2020","City of Culver City",0
"23","12/14/2020","City of Diamond Bar",0
"24","12/14/2020","City of Downey",0
"25","12/14/2020","City of Duarte",0
"26","12/14/2020","City of El Monte",0
"27","12/14/2020","City of El Segundo",0
"28","12/14/2020","City of Gardena",0
"29","12/14/2020","City of Glendale",0
"30","12/14/2020","City of Glendora",0
"31","12/14/2020","City of Hawaiian Gardens",0
"32","12/14/2020","City of Hawthorne",0
"33","12/14/2020","City of Hermosa Beach",0
"34","12/14/2020","City of Hidden Hills",0
"35","12/14/2020","City of Huntington Park",0
"36","12/14/2020","City of Industry",0
"37","12/14/2020","City of Inglewood",0
"38","12/14/2020","City of Irwindale",0
"39","12/14/2020","City of La Canada Flintridge",0
"40","12/14/2020","City of La Habra Heights",0
"41","12/14/2020","City of La Mirada",0
"42","12/14/2020","City of La Puente",0
"43","12/14/2020","City of La Verne",0
"44","12/14/2020","City of Lakewood",0
"45","12/14/2020","City of Lancaster",0
"46","12/14/2020","City of Lawndale",0
"47","12/14/2020","City of Lomita",0
"48","12/14/2020","City of Long Beach",0
"49","12/14/2020","City of Lynwood",0
"50","12/14/2020","City of Malibu",0
"51","12/14/2020","City of Manhattan Beach",0
"52","12/14/2020","City of Maywood",0
"53","12/14/2020","City of Monrovia",0
"54","12/14/2020","City of Montebello",0
"55","12/14/2020","City of Monterey Park",0
"56","12/14/2020","City of Norwalk",0
"57","12/14/2020","City of Palmdale",0
"58","12/14/2020","City of Palos Verdes Estates",0
"59","12/14/2020","City of Paramount",0
"60","12/14/2020","City of Pasadena",0
"61","12/14/2020","City of Pico Rivera",0
"62","12/14/2020","City of Pomona",0
"63","12/14/2020","City of Rancho Palos Verdes",0
"64","12/14/2020","City of Redondo Beach",0
"65","12/14/2020","City of Rolling Hills",0
"66","12/14/2020","City of Rolling Hills Estates",0
"67","12/14/2020","City of Rosemead",0
"68","12/14/2020","City of San Dimas",0
"69","12/14/2020","City of San Fernando",0
"70","12/14/2020","City of San Gabriel",0
"71","12/14/2020","City of San Marino",0
"72","12/14/2020","City of Santa Clarita",0
"73","12/14/2020","City of Santa Fe Springs",0
"74","12/14/2020","City of Santa Monica",0
"75","12/14/2020","City of Sierra Madre",0
"76","12/14/2020","City of Signal Hill",0
"77","12/14/2020","City of South El Monte",0
"78","12/14/2020","City of South Gate",0
"79","12/14/2020","City of South Pasadena",0
"80","12/14/2020","City of Temple City",0
"81","12/14/2020","City of Torrance",0
"82","12/14/2020","City of Vernon",0
"83","12/14/2020","City of Walnut",0
"84","12/14/2020","City of West Covina",0
"85","12/14/2020","City of West Hollywood",0
"86","12/14/2020","City of Westlake Village",0
"87","12/14/2020","City of Whittier",0
"88","12/14/2020","Los Angeles - Adams-Normandie",0
"89","12/14/2020","Los Angeles - Alsace",0
"90","12/14/2020","Los Angeles - Angeles National Forest",0
"91","12/14/2020","Los Angeles - Angelino Heights",0
"92","12/14/2020","Los Angeles - Arleta",0
"93","12/14/2020","Los Angeles - Atwater Village",0
"94","12/14/2020","Los Angeles - Baldwin Hills",0
"95","12/14/2020","Los Angeles - Bel Air",0
"96","12/14/2020","Los Angeles - Beverly Crest",0
"97","12/14/2020","Los Angeles - Beverlywood",0
"98","12/14/2020","Los Angeles - Boyle Heights",0
"99","12/14/2020","Los Angeles - Brentwood",0
"100","12/14/2020","Los Angeles - Brookside",0
"101","12/14/2020","Los Angeles - Cadillac-Corning",0
"102","12/14/2020","Los Angeles - Canoga Park",0
"103","12/14/2020","Los Angeles - Carthay",0
"104","12/14/2020","Los Angeles - Central",0
"105","12/14/2020","Los Angeles - Century City",0
"106","12/14/2020","Los Angeles - Century Palms/Cove",0
"107","12/14/2020","Los Angeles - Chatsworth",0
"108","12/14/2020","Los Angeles - Cheviot Hills",0
"109","12/14/2020","Los Angeles - Chinatown",0
"110","12/14/2020","Los Angeles - Cloverdale/Cochran",0
"111","12/14/2020","Los Angeles - Country Club Park",0
"112","12/14/2020","Los Angeles - Crenshaw District",0
"113","12/14/2020","Los Angeles - Crestview",0
"114","12/14/2020","Los Angeles - Del Rey",0
"115","12/14/2020","Los Angeles - Downtown",0
"116","12/14/2020","Los Angeles - Eagle Rock",0
"117","12/14/2020","Los Angeles - East Hollywood",0
"118","12/14/2020","Los Angeles - Echo Park",0
"119","12/14/2020","Los Angeles - El Sereno",0
"120","12/14/2020","Los Angeles - Elysian Park",0
"121","12/14/2020","Los Angeles - Elysian Valley",0
"122","12/14/2020","Los Angeles - Encino",0
"123","12/14/2020","Los Angeles - Exposition",0
"124","12/14/2020","Los Angeles - Exposition Park",0
"125","12/14/2020","Los Angeles - Faircrest Heights",0
"126","12/14/2020","Los Angeles - Figueroa Park Square",0
"127","12/14/2020","Los Angeles - Florence-Firestone",0
"128","12/14/2020","Los Angeles - Glassell Park",0
"129","12/14/2020","Los Angeles - Gramercy Place",0
"130","12/14/2020","Los Angeles - Granada Hills",0
"131","12/14/2020","Los Angeles - Green Meadows",0
