"GEOID","B16004_001E","B16004_001M","B16004_007E","B16004_007M","B16004_008E","B16004_008M","B16004_012E","B16004_012M","B16004_013E","B16004_013M","B16004_017E","B16004_017M","B16004_018E","B16004_018M","B16004_022E","B16004_022M","B16004_023E","B16004_023M","B16004_029E","B16004_029M","B16004_030E","B16004_030M","B16004_034E","B16004_034M","B16004_035E","B16004_035M","B16004_039E","B16004_039M","B16004_040E","B16004_040M","B16004_044E","B16004_044M","B16004_045E","B16004_045M","B16004_051E","B16004_051M","B16004_052E","B16004_052M","B16004_056E","B16004_056M","B16004_057E","B16004_057M","B16004_061E","B16004_061M","B16004_062E","B16004_062M","B16004_066E","B16004_066M","B16004_067E","B16004_067M","B17021_001E","B17021_001M","B17021_002E","B17021_002M","B27010_001E","B27010_001M","B27010_017E","B27010_017M","B27010_033E","B27010_033M","B27010_050E","B27010_050M","B27010_066E","B27010_066M","B03002_001E","B03002_001M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_004E","B03002_004M","B03002_003E","B03002_003M","B03002_012E","B03002_012M","B03002_005E","B03002_005M"
"060375433224",396,247,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,414,253,79,122,414,253,0,12,0,12,0,12,0,12,414,253,79,122,0,12,314,221,0,12,21,33,0,12
"060375435031",2182,377,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,38,6,12,0,12,0,12,7,10,0,12,0,12,0,12,10,17,0,12,4,10,0,12,13,21,18,25,0,12,1,4,1984,334,194,163,1996,337,0,12,48,41,32,31,0,12,2242,386,832,261,5,11,249,127,513,184,612,193,0,12
"060372430002",1540,554,25,41,9,14,0,12,0,12,0,12,0,12,0,12,0,12,239,156,143,109,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1847,698,560,499,1847,698,19,29,184,194,136,104,0,12,1847,698,0,12,0,12,130,114,2,6,1435,647,280,409
"060372621001",693,205,0,12,0,12,0,12,0,12,10,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,19,0,12,727,212,0,12,736,217,0,12,19,29,0,12,0,12,736,217,113,121,0,12,0,12,586,184,15,25,0,12
"060374609005",882,338,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,41,52,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1050,460,8,12,1050,460,0,12,0,12,7,11,0,12,1050,460,191,130,0,12,31,36,97,71,682,459,0,12
"060374609004",833,228,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,880,244,65,78,880,244,0,12,18,33,15,23,0,12,880,244,60,41,0,12,237,140,397,186,178,142,0,12
"060374609003",1243,479,27,44,0,12,0,12,0,12,0,12,0,12,0,12,0,12,80,72,19,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1385,580,95,89,1423,590,0,12,118,120,25,39,0,12,1423,590,35,33,0,12,135,114,73,54,1108,573,0,12
"060374611001",942,230,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,969,239,67,49,969,239,0,12,12,19,52,57,0,12,969,239,37,38,0,12,197,101,463,130,219,126,0,12
"060374611002",1820,359,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,78,67,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,35,53,0,12,0,12,2035,397,225,229,2035,397,0,12,37,42,89,64,0,12,2035,397,84,99,0,12,463,218,734,283,692,310,0,12
"060374611004",1412,499,50,80,0,12,0,12,0,12,0,12,0,12,0,12,0,12,183,140,56,91,0,12,0,12,0,12,0,12,0,12,0,12,9,14,6,14,0,12,0,12,0,12,0,12,0,12,0,12,1514,538,172,186,1514,538,50,80,92,93,104,118,0,12,1514,538,22,35,0,12,104,75,96,82,1268,537,0,12
