"GEOID","Pop_total","Limited_Eng","B16004_001E","Poverty","B17021_001E","Uninsured","B27010_001E","NonHisp_asian","NonHisp_pi","NonHisp_black","NonHisp_white","Hisp","NonHisp_ai","Male","Female","Age_5under","Age_5to14","Age_15to17","Age_18to20","Age_21to64","Age_65above","vac_per"
"060375433224",414,24,396,79,414,0,414,79,0,314,0,21,0,227,187,18,0,0,0,129,267,67.1
"060375435031",2242,86,2182,194,1984,80,1996,832,5,249,513,612,0,1089,1153,60,87,50,102,1360,583,70.9
"060372430002",1847,416,1540,560,1847,339,1847,0,0,130,2,1435,280,970,877,307,422,97,38,875,108,45.5
"060372621001",736,41,693,0,727,19,736,113,0,0,586,15,0,412,324,43,35,66,17,263,312,69.3
"060374609005",1050,41,882,8,1050,7,1050,191,0,31,97,682,0,471,579,168,171,10,132,502,67,72.9
"060374609004",880,2,833,65,880,33,880,60,0,237,397,178,0,440,440,47,61,0,38,455,279,72.9
"060374609003",1423,126,1243,95,1385,143,1423,35,0,135,73,1108,0,570,853,180,175,15,25,943,85,72.9
"060374611001",969,10,942,67,969,64,969,37,0,197,463,219,0,435,534,27,71,28,0,505,338,69.3
"060374611002",2035,113,1820,225,2035,126,2035,84,0,463,734,692,0,956,1079,215,265,101,54,1164,236,69.3
"060374611004",1514,304,1412,172,1514,246,1514,22,0,104,96,1268,0,797,717,102,149,70,47,1087,59,69.3
"060375323024",1120,190,1028,91,1120,127,1120,7,0,0,11,1102,0,598,522,92,202,25,16,695,90,68.4
"060375323021",1605,414,1485,147,1478,257,1515,0,0,35,12,1549,0,812,793,120,276,137,54,821,197,68.4
"060375326032",1078,307,965,208,1061,155,1078,0,0,0,25,1053,0,490,588,113,224,49,87,548,57,55.2
"060375326031",1124,269,1046,241,1124,283,1124,0,0,26,5,1093,0,529,595,78,167,63,46,758,12,55.2
"060375331041",1835,565,1657,306,1835,350,1835,0,0,53,18,1764,0,789,1046,178,215,108,110,1149,75,55.2
"060375331042",2580,662,2352,948,2580,475,2580,3,0,0,56,2515,1,1368,1212,228,496,106,102,1168,480,55.2
"060375332012",1794,600,1652,429,1794,216,1794,0,0,0,55,1739,0,916,878,142,301,91,68,1036,156,55.2
"060375332011",994,310,935,224,994,115,994,0,0,0,0,994,0,520,474,59,147,62,53,576,97,55.2
"060375333001",1110,329,914,304,1110,143,1110,0,0,12,0,1090,0,552,558,196,161,32,60,611,50,55.2
"060375333002",2236,444,2061,473,2236,230,2236,0,0,0,42,2189,0,1104,1132,175,527,145,62,1219,108,55.2
"060375337022",844,337,798,202,844,216,844,0,0,0,0,844,0,379,465,46,109,65,50,544,30,55.2
"060375337021",2699,986,2498,767,2699,567,2699,17,0,0,7,2675,0,1476,1223,201,426,97,133,1642,200,55.2
"060372414002",2198,431,2060,487,2198,361,2198,33,0,326,52,1715,15,964,1234,138,315,80,107,1386,172,45.4
"060372414001",1587,271,1366,610,1574,343,1587,24,0,356,0,1150,0,724,863,221,258,98,78,894,38,45.4
"060372422001",1790,445,1601,417,1752,359,1790,0,0,69,0,1721,0,988,802,189,398,71,116,899,117,45.5
"060372422002",577,83,473,219,512,56,577,0,0,170,0,407,0,329,248,104,49,41,19,355,9,45.5
"060372693001",625,0,602,10,625,0,625,61,0,0,426,19,0,330,295,23,116,0,0,361,125,85
"060372693003",926,12,897,38,926,8,926,154,0,0,704,10,0,395,531,29,219,43,17,401,217,85
"060372695004",1078,0,919,0,1078,22,1078,18,0,0,1023,37,0,576,502,159,267,27,10,464,151,77.3
"060372695002",714,12,714,27,714,0,714,149,0,0,544,0,0,347,367,0,187,29,9,388,101,77.3
"060372698001",1132,17,1092,97,1132,50,1132,308,0,75,619,100,0,532,600,40,80,9,33,902,68,77.3
"060372718022",3077,122,2954,185,3077,381,3077,677,0,198,1041,1014,0,1583,1494,123,57,55,47,2583,212,70.4
"060372718023",1369,124,1259,40,1369,150,1369,406,0,13,575,375,0,766,603,110,94,0,0,1023,142,70.4
"060372732004",1008,52,945,111,1008,183,1008,43,0,84,533,348,0,562,446,63,98,32,0,666,149,71.4
"060372732002",956,85,923,305,946,121,956,0,0,76,383,497,0,514,442,33,96,30,57,674,66,71.4
"060372752002",1667,170,1570,421,1667,154,1667,158,0,26,569,801,0,840,827,97,277,19,32,917,325,70.1
"060372752001",1098,85,1053,82,1098,93,1098,147,0,190,416,297,21,619,479,45,24,0,6,907,116,70.1
"060372183005",997,14,979,99,988,36,997,27,0,215,114,641,0,493,504,18,56,25,27,797,74,56.9
"060372183002",679,44,679,96,679,20,679,0,0,343,50,286,0,265,414,0,67,35,19,347,211,56.9
"060372184003",844,35,815,109,844,135,844,38,0,265,45,473,0,448,396,29,150,58,19,493,95,56.9
"060372184004",860,169,743,67,860,242,860,21,0,91,133,606,0,452,408,117,74,0,46,555,68,56.9
"060374056002",1234,82,1177,27,1234,72,1234,137,0,0,198,899,0,618,616,57,99,53,76,809,140,68.7
"060374056004",942,53,855,26,942,8,942,63,0,5,117,752,0,491,451,87,152,22,38,494,149,68.7
"060374059001",2170,265,2021,284,2147,254,2164,203,0,89,402,1401,21,1007,1163,149,185,116,75,1282,363,66.3
"060374059002",1781,196,1665,168,1781,154,1781,252,0,9,344,1161,5,836,945,116,150,86,99,1076,254,66.3
"060374060003",672,64,653,29,667,16,667,127,0,12,298,235,0,307,365,19,99,51,34,365,104,66.3
"060374060004",1219,99,1192,69,1165,6,1165,28,0,35,336,806,0,443,776,27,154,67,79,573,319,66.3
"060374064111",930,65,874,53,930,92,930,143,0,27,288,456,0,444,486,56,65,28,37,573,171,68.7
"060374064122",1262,85,1221,95,1262,85,1262,298,0,22,283,649,0,622,640,41,152,32,30,783,224,68.7
"060372427001",1489,354,1325,350,1489,175,1489,9,0,304,0,1165,0,823,666,164,152,0,44,1055,74,45.5
"060372427004",2081,469,1858,822,2057,257,2081,2,0,473,4,1600,2,952,1129,223,485,105,138,1001,129,45.5
"060372427003",571,140,550,156,571,230,571,0,0,116,0,455,0,276,295,21,60,33,33,400,24,45.5
"060372672003",1059,14,1013,17,1059,0,1059,97,0,214,648,100,0,668,391,46,193,108,0,526,186,72.7
"060372672001",3847,361,3665,495,3847,122,3847,967,0,46,2461,174,0,1941,1906,182,158,15,126,2771,595,72.7
"060372676003",1010,48,1010,162,1010,64,1010,383,0,59,307,235,0,507,503,0,0,49,69,731,161,72.7
"060372676001",1213,53,1092,121,1213,0,1213,356,0,103,557,119,0,464,749,121,44,0,30,801,217,72.7
"060376500015",816,44,758,37,816,202,816,321,0,46,185,264,0,449,367,58,63,31,12,568,84,72.9
"060371347202",2144,136,2019,379,2144,237,2144,396,0,143,438,958,0,1086,1058,125,253,66,68,1494,138,64.9
"060371347203",1382,168,1355,451,1382,253,1382,261,0,85,283,635,0,698,684,27,236,38,49,863,169,64.9
"060371347201",1548,320,1450,120,1548,92,1548,433,0,51,246,770,0,869,679,98,104,59,42,1043,202,64.9
"060371372011",3254,206,3022,332,3254,51,3254,472,0,63,2092,540,0,1562,1692,232,174,100,73,2298,377,72.5
"060371372013",1666,54,1666,156,1659,0,1659,204,0,43,888,345,0,715,951,0,295,111,68,995,197,72.5
"060375435032",3454,298,3206,528,3241,121,3241,1439,4,232,380,1272,0,1620,1834,248,271,53,72,1971,839,70.9
"060375504001",1226,145,1183,107,1226,68,1226,89,7,1,142,985,2,565,661,43,170,49,47,692,225,64.3
"060375541012",2381,427,2172,780,2381,513,2381,69,0,171,146,1965,0,1193,1188,209,406,118,137,1334,177,56.5
"060375541011",1167,144,1095,25,1167,101,1167,91,0,61,147,841,0,644,523,72,203,6,24,740,122,56.5
"060375545121",3821,223,3613,200,3821,194,3821,2781,0,283,379,287,0,1902,1919,208,516,134,158,2065,740,75.9
"060375545122",2634,214,2521,162,2600,144,2634,1838,0,125,362,241,12,1369,1265,113,185,69,87,1327,853,75.9
"060375545131",2758,354,2589,154,2758,234,2758,1756,124,155,270,287,0,1303,1455,169,342,105,70,1497,575,75.9
"060375548012",778,66,747,45,778,66,727,232,0,55,154,325,0,351,427,31,39,24,29,544,111,69.5
"060375548022",2102,114,1995,272,1793,57,1793,1118,0,97,397,341,0,1086,1016,107,188,45,51,1292,419,69.5
"060375548023",1372,194,1307,135,1345,198,1372,641,32,0,226,435,0,788,584,65,84,60,43,846,274,69.5
"060375552021",1498,8,1446,109,1498,86,1498,177,0,90,867,249,0,782,716,52,177,45,99,779,346,61.3
"060372691003",904,0,754,46,904,11,904,34,0,0,797,34,0,418,486,150,73,22,0,556,103,77.3
"060372697003",527,2,493,15,527,0,527,74,0,15,327,89,0,288,239,34,70,0,0,318,105,73.7
"060372697002",945,8,903,100,945,60,945,174,0,115,328,292,0,400,545,42,65,0,20,762,56,73.7
"060372703003",1359,68,1215,126,1359,222,1359,82,0,555,224,453,0,648,711,144,122,52,29,875,137,69.4
"060372703001",356,51,356,26,343,98,356,65,0,73,39,170,2,126,230,0,6,23,10,279,38,69.4
"060375309011",1249,308,1169,248,1249,248,1249,4,0,0,0,1245,0,577,672,80,128,34,79,819,109,59
"060375309012",1244,321,1145,179,1244,142,1244,0,0,13,8,1223,0,572,672,99,149,58,78,712,148,59
"060375530004",1293,127,1120,22,1293,83,1277,91,0,35,182,950,0,706,587,173,105,17,40,772,186,61.9
"060375534001",1136,155,1051,109,1131,90,1136,129,7,120,132,748,0,542,594,85,70,18,6,807,150,64.3
"060375534003",856,89,809,98,856,102,856,67,24,0,76,689,0,350,506,47,160,15,47,421,166,64.3
"060375538011",1202,179,1057,284,1202,163,1202,0,0,16,0,1186,0,601,601,145,90,77,157,705,28,55.2
"060375538013",2806,492,2576,785,2707,414,2707,39,138,114,49,2435,0,1364,1442,230,613,133,77,1596,157,55.2
"060375545111",2847,173,2754,101,2847,51,2829,1839,73,60,367,364,0,1382,1465,93,541,116,101,1423,573,75.9
"060375545112",1293,131,1257,0,1293,62,1293,785,0,154,170,160,0,706,587,36,117,99,19,765,257,75.9
"060375545152",2325,60,2200,106,2309,137,2325,1067,16,432,404,126,0,1141,1184,125,160,35,61,1415,529,75.9
"060375545171",2852,250,2828,139,2852,94,2828,1954,0,44,429,345,0,1485,1367,24,235,134,53,1630,776,75.9
"060375545191",1183,55,1145,32,1183,9,1183,739,7,35,290,93,0,581,602,38,103,60,30,633,319,75.9
"060375545192",2315,313,2284,196,2315,37,2315,1537,0,62,267,262,93,1166,1149,31,225,156,28,1085,790,75.9
"060372089042",1901,1028,1799,829,1848,821,1848,18,0,15,56,1812,0,999,902,102,351,31,41,1236,140,46.5
"060372110004",583,46,542,53,578,19,583,33,0,0,402,102,2,283,300,41,137,32,27,283,63,76
"060372110006",1578,125,1502,259,1578,119,1578,506,0,98,752,193,0,664,914,76,42,11,100,1231,118,76
"060372110005",969,108,892,60,969,68,969,417,0,13,448,56,0,438,531,77,117,16,23,522,214,76
"060372110002",587,113,529,40,587,29,587,339,0,12,236,0,0,248,339,58,91,36,5,290,107,76
"060379105021",2511,491,2292,759,2403,114,2511,127,0,604,122,1629,0,1134,1377,219,678,147,140,1119,208,52.9
"060379105022",2026,292,1844,603,2026,241,2026,47,0,42,165,1732,0,1047,979,182,361,59,88,1122,214,52.9
"060375768021",2609,57,2378,282,2501,48,2530,87,0,934,989,516,0,1231,1378,231,206,94,50,1773,255,61.3
"060375768022",1452,0,1408,139,1452,36,1452,334,11,157,657,259,0,815,637,44,45,4,20,1208,131,61.3
"060372111202",2953,666,2812,615,2953,539,2953,1892,15,89,229,701,9,1395,1558,141,31,120,155,2148,358,62.6
"060372113202",2518,614,2179,795,2518,343,2518,484,0,112,344,1561,17,1145,1373,339,332,65,162,1478,142,62.6
"060374614002",801,36,784,54,794,22,801,49,0,68,329,273,0,378,423,17,85,13,36,511,139,72.9
"060374614001",1421,179,1309,197,1392,89,1421,161,0,34,710,478,0,561,860,112,107,8,44,862,288,72.9
"060374614003",897,0,863,110,897,87,897,40,0,57,439,214,0,374,523,34,217,9,8,559,70,72.9
"060374634002",1585,26,1578,33,1585,45,1585,339,0,11,593,523,16,985,600,7,120,54,0,1151,253,72.9
"060374634001",1258,21,1094,53,1258,43,1258,252,0,13,503,490,0,491,767,164,61,17,0,805,211,72.9
"060374634003",849,0,752,113,849,129,849,328,0,61,403,16,0,560,289,97,64,12,82,389,205,72.9
"060374802023",872,40,784,19,872,17,872,348,0,0,276,219,16,406,466,88,117,20,8,471,168,74.1
"060374802022",832,102,747,70,832,38,832,498,0,0,143,99,0,401,431,85,141,10,19,441,136,74.1
"060374802021",849,70,777,28,849,16,849,265,0,21,128,414,0,383,466,72,126,48,26,423,154,74.1
"060374804001",911,73,859,150,911,26,911,336,0,0,166,409,0,459,452,52,77,47,0,497,238,71.5
"060374804003",1860,189,1843,108,1860,74,1860,874,0,0,222,507,25,799,1061,17,122,97,44,1245,335,71.5
"060374804002",2767,334,2438,331,2752,171,2752,1477,0,167,394,673,0,1306,1461,329,74,55,51,1683,575,71.5
"060372122031",1346,309,1245,475,1346,429,1346,314,19,118,97,740,0,632,714,101,66,19,44,1079,37,62.6
"060375401022",1620,223,1507,373,1620,247,1620,0,0,146,26,1448,0,769,851,113,196,20,41,1101,149,54.7
"060372197002",1088,210,1049,196,1069,130,1088,48,0,303,35,702,0,571,517,39,158,8,66,647,170,56.3
"060372197003",1993,260,1927,239,1993,177,1993,15,0,366,86,1509,0,994,999,66,414,69,53,1196,195,66.2
"060372200003",734,80,727,11,734,234,734,26,0,256,0,452,0,370,364,7,97,14,6,455,155,59.2
"060372200001",1448,81,1337,137,1448,149,1448,122,0,576,105,645,0,818,630,111,41,105,39,841,311,59.2
"060372200004",398,87,388,124,398,87,398,0,0,151,37,199,0,158,240,10,48,29,0,167,144,59.2
"060372211101",915,343,888,226,915,233,915,9,0,51,52,803,0,409,506,27,84,87,24,585,108,53.1
"060372211201",1481,637,1373,498,1481,556,1481,30,0,5,10,1436,0,656,825,108,230,49,105,918,71,53.1
"060372225003",1488,364,1450,157,1488,492,1488,75,0,237,93,1058,0,751,737,38,196,49,65,1011,129,50.4
"060372225001",1302,200,1169,370,1302,157,1302,0,0,441,45,785,0,604,698,133,215,52,110,667,125,50.4
"060372717022",1080,39,1049,170,1080,90,1080,358,0,108,326,146,72,546,534,31,42,15,27,893,72,94.8
"060376505011",1387,156,1287,6,1378,9,1387,446,0,0,769,119,0,785,602,100,236,20,20,771,240,72.9
"060376505012",852,0,815,5,852,18,852,287,0,0,345,157,0,361,491,37,125,33,18,422,217,72.9
"060373009021",863,40,802,42,863,2,863,148,0,0,580,119,0,422,441,61,113,5,9,447,228,55.2
"060373009022",1118,19,1088,19,1118,2,1118,145,0,0,713,190,0,587,531,30,130,41,26,668,223,55.2
"060373013001",720,21,630,73,720,24,720,68,0,0,583,63,0,341,379,90,74,7,3,399,147,55.2
"060371233031",749,79,715,101,749,78,749,35,0,16,320,364,0,345,404,34,42,31,13,564,65,55.4
"060371234201",2676,655,2499,483,2676,333,2676,234,0,77,970,1395,0,1174,1502,177,361,111,139,1507,381,55.4
"060371234202",894,125,878,69,894,124,894,47,0,86,370,391,0,352,542,16,121,13,69,631,44,53.3
"060371273001",2355,423,2188,442,2214,176,2214,274,12,119,461,1417,4,1192,1163,167,216,38,94,1448,392,52.4
"060372162002",1100,24,1006,0,1100,251,1100,88,0,302,297,192,0,619,481,94,76,0,45,655,230,69.9
"060372169002",867,58,705,0,867,0,867,0,0,67,297,428,0,342,525,162,69,4,0,526,106,68.1
"060372169004",1189,7,1173,54,1189,14,1189,29,0,512,464,158,0,648,541,16,56,39,0,908,170,68.1
"060372169001",772,42,772,44,772,0,772,88,0,128,511,0,0,272,500,0,97,0,0,624,51,68.1
